DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV
WM,Waste Management Inc.,Industrials,Environmental Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WFC,Wells Fargo,Financials,Banks
HCN,Welltower Inc.,Real Estate,REITs
WDC,Western Digital,Information Technology,Computer Storage & Peripherals
WU,Western Union Co,Information Technology,Internet Software & Services
WRK,Westrock Co,Materials,Paper Packaging
WY,Weyerhaeuser Corp.,Real Estate,REITs
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WFM,Whole Foods Market,Consumer Staples,Food Retail
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WEC,Wisconsin Energy Corporation,Utilities,Electric Utilities
WYN,Wyndham Worldwide,Consumer Discretionary,Hotels Resorts & Cruise Lines
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy Inc,Utilities,MultiUtilities
XRX,Xerox Corp.,Information Technology,IT Consulting & Other Services
XLNX,Xilinx Inc,Information Technology,Semiconductors
XL,XL Capital,Financials,Property & Casualty Insurance
XYL,Xylem Inc.,Industrials,Industrial Conglomerates
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment
ZION,Zions Bancorp,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
